volt,current,capacity
3.78,476.00,156.21
3.78,476.60,156.36
3.78,476.40,156.52
3.78,476.60,156.67
3.78,476.50,156.83
3.78,476.50,156.98
3.78,476.50,157.13
3.78,476.70,157.29
3.78,476.60,157.44
3.78,476.30,157.59
3.78,476.70,157.75
3.78,476.20,157.90
3.78,476.30,158.05
3.78,476.20,158.21
3.78,476.50,158.36
3.78,476.10,158.51
3.78,476.20,158.67
3.78,476.20,158.82
3.78,476.10,158.98
3.78,476.20,159.13
3.78,476.40,159.28
3.78,475.80,159.44
3.78,476.00,159.59
3.78,475.80,159.74
3.78,475.80,159.90
3.78,475.90,160.05
3.78,476.00,160.20
3.78,476.10,160.36
3.78,475.80,160.51
3.78,476.70,160.66
3.78,476.30,160.82
3.78,475.50,160.97
3.78,475.60,161.12
3.78,476.10,161.28
3.78,475.80,161.43
3.78,475.60,161.58
3.78,475.80,161.74
3.78,476.30,161.89
3.78,476.00,162.04
3.78,476.30,162.20
3.78,476.00,162.35
3.78,475.70,162.50
3.78,475.50,162.66
3.78,475.80,162.81
3.78,475.70,162.96
3.78,475.70,163.12
3.78,475.20,163.27
3.78,475.60,163.42
3.78,476.10,163.58
3.78,475.50,163.73
3.78,475.70,163.88
3.78,475.50,164.04
3.78,475.50,164.19
3.78,475.50,164.34
3.78,475.10,164.50
3.78,475.10,164.65
3.78,475.70,164.80
3.78,475.20,164.96
3.78,474.90,165.11
3.78,475.00,165.26
3.78,474.90,165.42
3.78,475.10,165.57
3.78,475.10,165.72
3.78,475.20,165.87
3.78,475.30,166.03
3.78,475.20,166.18
3.78,474.40,166.33
3.78,474.90,166.49
3.78,474.80,166.64
3.78,474.90,166.79
3.78,475.10,166.95
3.78,475.00,167.10
3.77,474.80,167.25
3.77,474.40,167.41
3.78,474.70,167.56
3.78,474.70,167.71
3.78,474.70,167.86
3.78,474.80,168.02
3.78,474.90,168.17
3.78,474.90,168.32
3.78,474.60,168.48
3.78,474.30,168.63
3.78,474.60,168.78
3.78,475.40,168.94
3.78,475.20,169.09
3.78,474.10,169.24
3.77,475.30,169.39
3.78,475.10,169.55
3.78,474.50,169.70
3.78,474.40,169.85
3.78,474.40,170.01
3.78,474.30,170.16
3.77,474.90,170.31
3.78,474.10,170.47
3.78,474.30,170.62
3.77,474.80,170.77
3.77,474.30,170.92
3.78,474.20,171.08
3.78,475.00,171.23
3.78,475.00,171.38
3.77,475.00,171.54
3.77,474.50,171.69
3.78,474.80,171.84
3.77,474.20,172.00
3.77,474.40,172.15
3.77,474.60,172.30
3.77,474.40,172.45
3.77,474.60,172.61
3.77,475.00,172.76
3.77,474.60,172.91
3.77,474.90,173.07
3.77,474.20,173.22
3.78,474.90,173.37
3.78,475.00,173.52
3.77,474.70,173.68
3.77,474.70,173.83
3.77,474.90,173.98
3.77,474.80,174.14
3.77,474.90,174.29
3.77,474.60,174.44
3.77,474.70,174.60
3.77,474.80,174.75
3.77,474.30,174.90
3.77,474.90,175.05
3.77,474.30,175.21
3.77,474.60,175.36
3.77,474.70,175.51
3.77,474.50,175.67
3.77,474.60,175.82
3.77,474.70,175.97
3.77,474.60,176.13
3.77,474.30,176.28
3.77,474.50,176.43
3.77,474.30,176.58
3.77,474.50,176.74
3.77,474.50,176.89
3.77,474.20,177.04
3.77,474.40,177.20
3.77,474.30,177.35
3.77,474.10,177.50
3.77,474.30,177.65
3.77,474.00,177.81
3.77,474.10,177.96
3.77,474.10,178.11
3.77,474.30,178.27
3.77,474.40,178.42
3.77,473.90,178.57
3.77,474.10,178.72
3.76,474.10,178.88
3.77,474.00,179.03
3.77,474.00,179.18
3.77,473.80,179.33
3.76,474.00,179.49
3.77,473.80,179.64
3.77,474.20,179.79
3.76,474.10,179.95
3.77,474.00,180.10
3.76,474.20,180.25
3.76,473.90,180.40
3.76,474.00,180.56
